,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
462,Luganville,VU,-15.5333,167.1667,76.64,88,29,4.54,scattered clouds
463,Saravan,AM,39.7196,45.6483,50.65,68,76,6.85,broken clouds
464,Wanlaweyn,SO,2.6185,44.8938,78.85,73,38,16.51,scattered clouds
465,Yukon,US,35.5067,-97.7625,80.06,46,1,3.0,haze
466,Envira,BR,-7.3,-70.2167,93.6,40,27,2.62,scattered clouds
467,Dingle,PH,10.9995,122.6711,76.26,92,100,6.4,light rain
468,Taksimo,RU,56.3444,114.8794,29.93,84,57,2.93,broken clouds
469,Touros,BR,-5.1989,-35.4608,86.9,63,32,18.12,scattered clouds
470,Gongzhuling,CN,43.5008,124.8198,47.1,82,100,7.02,overcast clouds
471,Nautanwa,IN,27.4333,83.4167,74.66,95,40,6.64,scattered clouds
472,Richards Bay,ZA,-28.783,32.0377,60.42,84,100,4.94,light rain
473,Boa Vista,BR,2.8197,-60.6733,93.18,43,75,6.91,broken clouds
474,Wladyslawowo,PL,54.7909,18.4009,60.94,66,100,21.0,overcast clouds
475,Baghdad,IQ,33.3406,44.4009,89.51,23,0,12.66,clear sky
476,Broome,US,42.2506,-75.833,65.17,78,90,5.01,overcast clouds
477,Dulce Grande,MX,23.0,-102.1667,64.74,57,99,13.49,overcast clouds
478,Marsh Harbour,BS,26.5412,-77.0636,81.14,62,2,11.01,clear sky
479,Pangnirtung,CA,66.1451,-65.7125,32.0,100,75,5.75,mist
480,Kovdor,RU,67.5662,30.4758,43.66,85,47,8.93,scattered clouds
481,Mangai,CD,-4.05,19.5333,73.45,86,76,1.95,light rain
482,Ahmadpur,IN,18.7,76.9333,78.44,75,94,3.56,overcast clouds
483,Longjiang,CN,47.3303,123.1836,41.18,85,97,5.79,overcast clouds
484,Marawi,PH,7.9986,124.2928,66.65,98,100,2.01,overcast clouds
485,Sayyan,YE,15.1718,44.3244,62.47,51,68,2.68,broken clouds
486,Zunyi,CN,27.6867,106.9072,69.26,77,15,4.47,few clouds
487,Lufilufi,WS,-13.8745,-171.5986,78.58,76,18,19.95,few clouds
488,Bilibino,RU,68.0546,166.4372,17.53,96,97,3.04,overcast clouds
489,Teya,RU,60.3778,92.6267,33.22,98,100,3.02,light snow
490,Arlit,NE,18.7369,7.3853,93.49,11,0,4.85,clear sky
491,Honiara,SB,-9.4333,159.95,77.41,90,64,3.0,broken clouds
492,Dongzhen,CN,22.3797,110.9389,76.24,88,0,2.1,light rain
493,Souillac,MU,-20.5167,57.5167,72.36,88,75,13.8,broken clouds
494,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,48.79,71,40,11.18,scattered clouds
495,Paamiut,GL,61.994,-49.6678,40.42,71,3,9.28,clear sky
496,Onega,RU,63.9061,38.1404,44.85,92,67,6.17,broken clouds
497,Sur,OM,22.5667,59.5289,83.28,77,100,17.56,overcast clouds
498,Sao Cristovao,BR,-11.0147,-37.2064,84.11,65,20,12.66,few clouds
499,Agaro,ET,7.85,36.65,61.02,97,94,1.77,light rain
500,Daru,PG,-9.0763,143.2092,76.44,89,78,3.51,broken clouds
501,Palauig,PH,15.435,119.9045,80.67,79,96,4.68,overcast clouds
502,Arawa,PG,-6.2132,155.5367,76.26,91,74,3.22,light rain
503,Santarem,BR,-2.4431,-54.7083,89.73,62,0,11.5,clear sky
504,Oussouye,SN,12.485,-16.5469,89.78,75,95,3.98,light rain
505,Benjamin Constant,BR,-4.3831,-70.0311,84.33,74,75,10.36,thunderstorm
506,Broken Hill,AU,-31.95,141.4333,53.31,58,0,11.5,clear sky
507,Tezu,IN,27.9167,96.1667,74.16,98,91,1.7,light rain
508,Adrar,MR,20.5022,-10.0711,99.46,10,26,3.49,scattered clouds
509,Mushie,CD,-3.0167,16.9,77.86,79,84,3.98,light rain
510,Kollam,IN,8.8833,76.6,80.47,85,100,4.0,overcast clouds
511,Huambo,AO,-12.7761,15.7392,75.85,24,27,6.17,scattered clouds
512,Batemans Bay,AU,-35.7167,150.1833,55.9,94,38,5.26,scattered clouds
513,Cockburn Town,TC,21.4612,-71.1419,84.16,70,75,6.91,broken clouds
514,Lorengau,PG,-2.0226,147.2712,79.0,82,43,3.27,scattered clouds
515,Whitehorse,CA,60.7161,-135.0538,37.09,83,90,0.0,light snow
516,Kloulklubed,PW,7.0419,134.2556,82.92,76,100,7.4,overcast clouds
517,Ancud,CL,-41.8697,-73.8203,51.33,64,50,12.06,scattered clouds
518,Inegol,TR,40.0781,29.5133,58.28,86,8,1.14,clear sky
519,San Jose,US,37.3394,-121.895,87.78,29,40,3.44,smoke
520,Conceicao Do Araguaia,BR,-8.2578,-49.2647,90.41,42,100,2.77,overcast clouds
521,Lavrentiya,RU,65.5833,-171.0,23.23,73,84,3.98,broken clouds
522,Nassau,US,40.7507,-73.5829,80.98,59,1,1.99,clear sky
523,Marzuq,YE,14.4,46.4667,74.82,65,74,10.18,broken clouds
524,Iskateley,RU,67.6803,53.1512,37.04,94,74,10.29,broken clouds
525,Carballo,ES,43.213,-8.691,60.87,81,8,3.91,clear sky
526,Ubata,BR,-14.2139,-39.5228,88.95,40,79,8.99,broken clouds
527,Krasnoselkup,RU,65.7,82.4667,22.75,89,92,9.37,overcast clouds
528,Rio Tinto,PT,41.1826,-8.5581,63.05,69,20,3.0,few clouds
529,Natal,BR,-5.795,-35.2094,86.65,51,0,18.41,clear sky
530,Naze,JP,28.3667,129.4833,77.41,63,0,19.51,clear sky
531,Belousovka,KZ,50.1339,82.5239,38.25,93,90,11.18,overcast clouds
532,San Patricio,US,28.017,-97.5169,90.01,58,57,7.87,broken clouds
533,Barra Patuca,HN,15.8,-84.2833,84.29,70,42,6.31,scattered clouds
534,Ulagan,RU,50.6321,87.9563,24.04,66,80,3.18,broken clouds
535,Imeni Poliny Osipenko,RU,52.4201,136.4853,32.63,74,12,5.03,few clouds
536,Goundam,ML,16.4145,-3.6708,100.47,14,95,7.72,overcast clouds
537,Pevek,RU,69.7008,170.3133,22.68,91,99,9.46,overcast clouds
538,Young,UY,-32.6833,-57.6333,63.23,46,86,11.63,overcast clouds
539,Kavaratti,IN,10.5669,72.642,81.59,79,100,10.38,overcast clouds
540,Chervone,UA,49.9564,28.8645,49.03,54,49,8.41,scattered clouds
541,Kamphaeng Phet,TH,16.25,99.5,74.73,90,81,3.18,light rain
542,Shawnee,US,39.05,-95.7669,79.79,59,75,1.99,broken clouds
543,Vila Velha,BR,-20.3297,-40.2925,85.95,54,0,14.97,clear sky
544,Betare Oya,CM,5.6,14.0833,68.95,93,58,3.53,light rain
545,Maralal,KE,1.0968,36.698,68.88,51,100,8.84,overcast clouds
546,Beniganj,IN,27.2833,80.45,84.83,65,76,2.84,moderate rain
547,Port Hardy,CA,50.6996,-127.4199,51.98,71,40,6.91,light rain
548,Fort-De-France,MQ,14.6089,-61.0733,89.55,45,40,18.41,scattered clouds
549,Sioux Lookout,CA,50.1001,-91.917,59.38,72,75,3.44,broken clouds
550,Polyarnyy,RU,69.1989,33.4478,43.27,81,37,18.97,scattered clouds
551,Luau,AO,-10.7073,22.2247,72.81,67,75,2.21,light rain
552,Bumba,CD,2.1833,22.4667,77.97,66,93,2.21,overcast clouds
553,San Jeronimo,PE,-11.9472,-75.2829,63.21,45,66,4.76,broken clouds
554,Ullapool,GB,57.8987,-5.1604,51.76,93,100,17.05,overcast clouds
555,San Borja,BO,-14.8167,-66.85,99.97,29,55,8.63,broken clouds
556,Sovetskiy,RU,61.3614,63.5842,28.67,81,48,4.88,scattered clouds
557,Ahuimanu,US,21.4447,-157.8378,80.46,76,90,10.36,light rain
558,Tokur,RU,53.1333,132.9,23.81,88,11,1.92,few clouds
559,Maridi,SS,4.9158,29.4742,69.01,95,87,4.45,light rain
560,Berlevag,NO,70.8578,29.0864,51.8,77,93,30.76,overcast clouds
561,Malartic,CA,48.1335,-78.1328,62.42,52,15,6.15,few clouds
562,Kiama,AU,-34.6833,150.8667,62.38,79,90,4.76,overcast clouds
563,Vieux-Habitants,GP,16.0589,-61.7659,87.37,68,31,15.03,scattered clouds
564,Ilheus,BR,-14.7889,-39.0494,84.02,74,40,9.22,scattered clouds
565,Bonthe,SL,7.5264,-12.505,78.91,84,70,5.7,moderate rain
566,Shumikha,RU,55.2261,63.2961,26.94,87,60,7.52,broken clouds
567,Itaituba,BR,-4.2761,-55.9836,91.56,62,40,3.18,scattered clouds
568,Semirara,PH,12.0697,121.3986,82.45,77,100,17.11,moderate rain
569,Dakoro,NE,14.5106,6.765,95.18,13,0,4.27,clear sky
570,Panaba,MX,21.2833,-88.2667,93.29,42,61,9.28,broken clouds
571,Moussoro,TD,13.6408,16.4901,96.03,17,53,6.67,broken clouds
572,Gashua,NG,12.871,11.0482,93.27,17,1,7.96,clear sky
573,Praia Da Vitoria,PT,38.7333,-27.0667,75.76,88,20,8.28,few clouds
574,Goryachegorsk,RU,55.4053,88.9154,29.21,85,100,3.38,overcast clouds
575,Lishui,CN,28.4604,119.9103,67.41,98,3,3.67,clear sky
576,Amapa,BR,1.0,-52.0,88.86,44,100,3.11,overcast clouds
577,Hudson Bay,CA,52.85,-102.3842,68.0,27,71,8.32,broken clouds
578,Bubaque,GW,11.2833,-15.8333,82.15,75,100,8.79,overcast clouds
579,Beyneu,KZ,45.3167,55.2,54.23,30,66,7.05,broken clouds
580,Mgandu,TZ,-5.95,34.1333,75.51,25,51,5.41,broken clouds
581,Mancora,PE,-4.1078,-81.0475,73.98,60,52,12.68,broken clouds
582,Hohhot,CN,40.8106,111.6522,50.29,40,0,8.95,clear sky
583,Kinwat,IN,19.6333,78.2,77.68,82,43,1.72,scattered clouds
584,Lukulu,ZM,-14.3707,23.242,74.55,50,93,4.76,overcast clouds
585,Baryshivka,UA,50.361,31.3217,52.95,56,16,6.69,few clouds
586,Kangaatsiaq,GL,68.3065,-53.4641,30.76,61,70,9.08,broken clouds
587,Saint Anthony,US,45.0205,-93.218,70.9,72,40,5.01,scattered clouds
588,Fort Morgan,US,40.2503,-103.8,78.8,18,1,5.75,clear sky
589,Zhuhai,CN,22.2769,113.5678,85.05,84,20,13.8,light rain
590,Sumbe,AO,-11.2061,13.8437,73.08,81,56,6.02,broken clouds
591,Reporoa,NZ,-38.4333,176.35,57.34,100,100,3.74,light rain
592,Yeppoon,AU,-23.1333,150.7333,71.38,94,3,4.03,clear sky
593,Ucluelet,CA,48.9329,-125.5528,60.1,92,36,1.01,scattered clouds
594,Yantal,RU,56.8471,105.2542,34.29,85,100,1.66,overcast clouds
595,Maniitsoq,GL,65.4167,-52.9,40.21,71,25,3.78,scattered clouds
596,Sorkjosen,NO,69.8,20.9333,53.6,58,20,36.82,few clouds
597,Lastoursville,GA,-0.8143,12.7287,73.6,96,50,1.9,scattered clouds
598,Bud,US,39.447,-86.1758,73.96,87,100,10.25,overcast clouds
599,Grindavik,IS,63.8424,-22.4338,48.15,81,0,24.16,clear sky
600,San Carlos De Bariloche,AR,-41.1456,-71.3082,51.55,37,20,24.16,few clouds
601,Santa Maria,BR,-29.6842,-53.8069,72.7,68,75,5.75,broken clouds
602,Omsukchan,RU,62.5333,155.8,25.92,92,100,11.72,overcast clouds
603,Feltre,IT,46.0235,11.907,67.62,89,95,1.99,overcast clouds
604,Sholapur,IN,17.6833,75.9167,83.12,68,97,3.69,overcast clouds
605,Ukiah,US,39.1502,-123.2078,90.66,28,1,3.44,clear sky
606,Acandi,CO,8.5063,-77.2778,84.22,80,86,4.65,overcast clouds
607,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,93.4,34,51,8.19,broken clouds
608,Verkh-Usugli,RU,52.7,115.1667,29.66,73,12,2.15,few clouds
609,Bowen,AU,-20.0167,148.2333,71.82,94,9,5.82,clear sky
610,Velizh,RU,55.6056,31.1967,45.63,88,96,5.64,moderate rain
611,Saint-Junien,FR,45.8833,0.9,58.14,86,100,3.24,overcast clouds
612,Collie,AU,-33.3667,116.15,39.97,87,55,2.3,broken clouds
613,Juneau,US,58.3019,-134.4197,41.22,93,90,5.75,moderate rain
614,Limpapa,PH,7.1197,121.9106,74.53,85,100,9.51,overcast clouds
615,Polunochnoye,RU,60.8697,60.4153,29.52,81,99,3.22,overcast clouds
616,Peruibe,BR,-24.32,-46.9983,72.0,95,97,7.72,overcast clouds
617,Karatau,KZ,43.1667,70.4667,45.52,39,53,6.08,broken clouds
618,Baiyin,CN,36.5583,104.2081,41.88,81,100,6.62,overcast clouds
619,Utete,TZ,-7.986,38.758,72.86,75,74,7.23,broken clouds
620,Aksu,CN,41.1231,80.2644,53.06,54,88,9.78,light rain
621,Eureka,US,40.8021,-124.1637,61.99,66,54,5.48,broken clouds
622,Zheleznodorozhnyy,RU,55.7503,38.0042,43.36,70,100,4.36,overcast clouds
623,Katherine,AU,-14.4667,132.2667,82.72,69,97,6.91,overcast clouds
624,Arinos,BR,-15.9169,-46.1056,103.15,15,31,3.36,scattered clouds
625,Umba,RU,66.6871,34.3429,44.78,89,10,8.66,clear sky
626,Hedaru,TZ,-4.5,37.9,73.89,65,72,4.41,broken clouds
627,Kayes,ML,14.0,-11.0,89.26,50,13,5.86,few clouds
628,Loukhi,RU,66.0764,33.0381,45.19,85,12,8.25,few clouds
629,Neiafu,TO,-18.65,-173.9833,75.88,94,40,11.5,scattered clouds
630,Kassala,SD,15.451,36.4,93.42,34,42,3.94,scattered clouds
631,Toguchin,RU,55.2353,84.3858,33.8,96,100,7.67,light rain
632,Jinchang,CN,38.4953,102.1739,48.38,52,95,8.37,overcast clouds
633,Kendari,ID,-3.945,122.4989,73.85,95,51,3.89,broken clouds
634,Dilla,ET,6.41,38.31,62.08,93,86,3.67,light rain
635,Teocaltiche,MX,21.4333,-102.5833,69.31,67,99,3.74,overcast clouds
636,Palaikastron,GR,35.2,26.25,68.76,70,1,23.64,clear sky
637,Uige,AO,-7.6087,15.0613,77.18,53,69,3.06,broken clouds
638,Coxim,BR,-18.5067,-54.76,98.31,27,70,14.14,broken clouds
639,Lexington,US,37.9887,-84.4777,71.94,87,90,3.44,mist
640,Indianola,US,41.3581,-93.5574,75.56,54,97,12.82,overcast clouds
641,Caravelas,BR,-17.7125,-39.2481,81.77,67,3,14.52,clear sky
642,Pachino,IT,36.7186,15.0907,69.84,66,4,6.04,clear sky
643,Cururupu,BR,-1.8283,-44.8683,87.15,55,87,8.55,overcast clouds
644,Yaan,NG,7.3833,8.5667,78.85,78,77,3.24,broken clouds
645,Zinder,NE,13.8072,8.9881,91.36,40,0,4.61,clear sky
646,Tigzirt,DZ,36.8886,4.1198,74.26,73,1,4.05,clear sky
647,Seymchan,RU,62.8833,152.4333,28.04,76,100,12.55,overcast clouds
648,Lodwar,KE,3.1191,35.5973,91.26,31,5,4.85,clear sky
649,Benguela,AO,-12.5763,13.4055,72.21,79,19,5.77,few clouds
650,Rawson,AR,-43.3002,-65.1023,59.83,32,3,12.68,clear sky
651,Goderich,CA,43.7501,-81.7165,70.21,88,100,3.44,overcast clouds
652,Coihueco,CL,-36.6167,-71.8333,59.74,48,0,17.27,clear sky
653,Mangan,IN,27.5167,88.5333,71.24,91,95,3.2,overcast clouds
654,San Quintin,MX,30.4833,-115.95,81.3,37,98,5.75,overcast clouds
655,Marathon,US,44.9,-89.7668,71.17,82,90,8.05,overcast clouds
656,Celestun,MX,20.8667,-90.4,88.34,57,60,7.49,broken clouds
657,Hofn,IS,64.2539,-15.2082,47.23,84,100,14.65,overcast clouds
658,Najran,SA,17.4924,44.1277,84.85,30,93,3.09,overcast clouds
659,Show Low,US,34.2542,-110.0298,70.3,33,1,10.36,clear sky
660,Teahupoo,PF,-17.8333,-149.2667,75.16,78,22,7.92,light rain
661,Babstovo,RU,48.1167,132.4833,40.48,89,100,2.62,overcast clouds
662,Vallenar,CL,-28.5708,-70.7581,78.55,18,0,13.04,clear sky
663,Nikel,RU,69.4128,30.222,48.38,78,86,15.95,overcast clouds
664,Kahului,US,20.8947,-156.47,81.84,71,20,4.61,few clouds
665,Dakar,SN,14.6937,-17.4441,86.88,71,17,7.4,few clouds
666,Muros,ES,42.7762,-9.0603,63.84,79,3,8.43,clear sky
667,Pathein,MM,16.7833,94.7333,77.81,92,100,2.42,overcast clouds
668,Samarai,PG,-10.6167,150.6667,79.61,83,93,3.83,overcast clouds
669,Yugorsk,RU,61.3133,63.3319,28.76,81,46,4.85,scattered clouds
670,Tinos,GR,37.5375,25.1634,68.34,63,20,21.85,few clouds
671,Songea,TZ,-10.6833,35.65,70.92,43,41,5.88,scattered clouds
672,Jinzhou,CN,41.1078,121.1417,58.03,70,100,14.38,light rain
673,La Rioja,ES,42.25,-2.5,49.48,85,100,4.61,overcast clouds
674,Aleksandrov Gay,RU,50.147,48.5704,53.64,58,100,7.7,overcast clouds
675,Seydi,TM,39.4816,62.9137,53.35,24,0,10.76,clear sky
676,Tianpeng,CN,30.9866,103.9393,77.47,91,42,8.95,scattered clouds
677,Sarlat-La-Caneda,FR,44.889,1.2166,56.53,93,100,3.09,overcast clouds
678,Anchorage,US,61.2181,-149.9003,34.75,88,1,0.0,clear sky
679,Port Keats,AU,-14.25,129.55,79.83,84,94,8.34,overcast clouds
680,Chudovo,RU,59.1167,31.6833,44.78,87,1,7.07,clear sky
681,Birnin Kebbi,NG,12.4539,4.1975,89.11,42,15,6.82,few clouds
682,Wajir,KE,1.7471,40.0573,88.16,37,54,13.94,broken clouds
683,Mananjary,MG,-21.2167,48.3333,72.43,84,3,10.94,clear sky
684,Severodvinsk,RU,64.5635,39.8302,46.51,89,67,7.14,broken clouds
685,Bartica,GY,6.4,-58.6167,77.32,83,86,3.29,moderate rain
686,Stawell,AU,-37.05,142.7667,46.04,92,79,9.01,broken clouds
687,Teguise,ES,29.0605,-13.564,71.82,64,20,18.41,few clouds
688,Namatanai,PG,-3.6667,152.4333,79.36,79,70,3.98,broken clouds
689,Bagdarin,RU,54.4333,113.6,29.03,79,25,3.4,scattered clouds
690,Argentan,FR,48.75,-0.0167,54.32,75,54,8.86,broken clouds
691,Trelew,AR,-43.249,-65.3051,62.64,23,4,18.25,clear sky
692,Lubango,AO,-14.9172,13.4925,62.87,40,4,5.84,clear sky
693,Mount Isa,AU,-20.7333,139.5,76.77,23,75,8.05,light rain
694,Qobustan,AZ,40.0824,49.412,64.51,60,99,5.32,overcast clouds
